9943	好樂迪
9944	新麗
9946	三發地產
9955	佳龍
9958	世紀鋼
1210	大成
1215	卜蜂
1227	佳格
1229	聯華
1231	聯華食
1232	大統益
1304	台聚
1305	華夏
1308	亞聚
1309	台達化
1310	台苯
1312	國喬
1313	聯成
1314	中石化
1319	東陽
1321	大洋
1323	永裕
1337	再生-KY
1338	廣華-KY
1339	昭輝
1419	新紡
1434	福懋
1440	南紡
1444	力麗
1447	力鵬
1451	遠東新
1452	宏益
1455	集盛
1457	宜進
1460	宏遠
1464	得力
1473	聯發
1512	瑞利
1514	亞力
1517	利奇
1521	大億
1522	堤維西
1524	耿鼎
1525	江申
1526	日馳
1527	鑽全
1530	亞崴
1531	高林股
1533	車王電
1535	巨庭
1536	和大
1537	廣隆
1538	正峰
1540	喬福
1541	錩泰
1558	伸興
1560	瑞智
1582	信錦
1583	程泰
1589	永冠-KY
1590	亞德客-KY
1597	帝寶
1598	岱宇
1604	聲寶
1608	華榮
1609	大亞
1611	中電
1612	宏泰
1614	三洋電
1615	大山
1616	億泰
1617	榮星
1618	合機
1701	中化
1702	南僑
1708	氧化
1709	和益
1710	東聯
1712	興農
1713	國化
1714	和桐
1718	中纖
1720	生達
1721	三晃
1725	瑞基
1726	永記
1727	中華化
1731	美吾華
1732	毛寶
1733	五鼎
1734	杏輝
1737	統一藥
1742	醫影
1752	國光
1762	中化生
1776	展宇
1783	和康生
1789	神隆
1799	易威
1805	寶徠
1808	潤隆
1905	華紙
2007	燁興
2008	高興昌
2009	第一銅
2010	春源
2012	春雨
2013	中鋼構
2015	豐興
2017	官田鋼
2020	美亞
2022	聚亨
2023	燁輝
2024	志聯
2025	千興
2028	威致
2029	盛餘
2030	彰源
2032	新鋼
2033	大成鋼
2034	允強
2038	海光
2049	上銀
2059	川湖
2062	橋椿
2102	泰豐
2103	台橡
2104	國際中橡
2107	建大
2109	華豐
2201	裕隆
2204	中華
2208	台船
